n,true_sem,c4,exp_sem,abs_bias,rel_bias,MSE_analytical
110,0.09534625892455924,0.9977090823559466,0.09512782849769447,-0.00021843042686477132,-0.002290917644053553,4.1653048073698636e-05
130,0.08770580193070293,0.9980639115540684,0.08753599574094373,-0.00016980618975920292,-0.0019360884459316407,2.9785976091255806e-05
150,0.08164965809277261,0.99832356703247,0.08151277791415833,-0.00013688017861428203,-0.0016764329675300657,2.2352439567066006e-05
170,0.07669649888473704,0.998521812288434,0.07658312706256548,-0.00011337182217155406,-0.0014781877115660046,1.7390443665482917e-05
190,0.07254762501100116,0.9986781292904913,0.07245172643045471,-9.589858054645517e-05,-0.001321870709508589,1.3914428521144551e-05
250,0.06324555320336758,0.9989964904873951,0.06318208568909806,-6.346751426952735e-05,-0.001003509512604721,8.028076100838887e-06
300,0.05773502691896257,0.9991642306073455,0.057686773750579616,-4.825316838295152e-05,-0.000835769392654482,5.571795951030042e-06
350,0.05345224838248487,,,,,
400,0.05,,,,,
450,0.04714045207910317,,,,,
500,0.044721359549995794,,,,,
550,0.04264014327112208,,,,,
600,0.040824829046386304,,,,,
650,0.03922322702763681,,,,,
700,0.03779644730092272,,,,,
750,0.03651483716701107,,,,,
800,0.035355339059327376,,,,,
850,0.03429971702850177,,,,,
900,0.03333333333333333,,,,,
950,0.03244428422615251,,,,,
1000,0.03162277660168379,,,,,
